date_key,card_type,gate_in,total_passenger,total_fare
2025-07-09,JakCard,False,11,162500.0
2025-07-09,JakCard,True,7,115500.0
2025-07-10,BRIZZI,False,2,5500.0
2025-07-10,BRIZZI,True,3,57000.0
2025-07-10,E-Money,False,6,82000.0
2025-07-10,E-Money,True,10,108000.0
2025-07-10,Flazz,False,8,131000.0
2025-07-10,Flazz,True,3,7500.0
2025-07-10,JakCard,False,5,29000.0
2025-07-10,JakCard,True,5,95500.0
2025-07-11,BRIZZI,False,5,95500.0
2025-07-11,BRIZZI,True,5,39000.0
2025-07-11,E-Money,False,4,40500.0
2025-07-11,E-Money,True,1,20000.0
2025-07-11,Flazz,False,4,55000.0
2025-07-11,Flazz,True,8,68500.0
2025-07-11,JakCard,False,7,52500.0
2025-07-11,JakCard,True,4,7500.0
2025-07-12,BRIZZI,False,4,9000.0
2025-07-12,BRIZZI,True,4,92000.0
2025-07-12,E-Money,False,9,101000.0
2025-07-12,E-Money,True,5,82000.0
2025-07-12,Flazz,False,5,127000.0
2025-07-12,Flazz,True,6,49000.0
2025-07-12,JakCard,False,8,83000.0
2025-07-12,JakCard,True,5,97000.0
2025-07-13,BRIZZI,False,4,40500.0
2025-07-13,BRIZZI,True,9,99500.0
2025-07-13,E-Money,False,4,59000.0
2025-07-13,E-Money,True,9,204000.0
2025-07-13,Flazz,False,3,58500.0
2025-07-13,Flazz,True,4,42500.0
2025-07-13,JakCard,False,7,117500.0
2025-07-13,JakCard,True,3,6000.0
2025-07-14,BRIZZI,False,4,42000.0
2025-07-14,BRIZZI,True,6,84000.0
2025-07-14,E-Money,False,4,75500.0
2025-07-14,E-Money,True,2,5500.0
2025-07-14,Flazz,False,4,60500.0
2025-07-14,Flazz,True,8,190000.0
2025-07-14,JakCard,False,5,65500.0
2025-07-14,JakCard,True,6,64000.0
2025-07-15,BRIZZI,False,9,152500.0
2025-07-15,BRIZZI,True,7,113500.0
2025-07-15,E-Money,False,4,40500.0
2025-07-15,E-Money,True,2,40000.0
2025-07-15,Flazz,False,3,9000.0
2025-07-15,Flazz,True,8,74500.0
2025-07-15,JakCard,False,4,59000.0
2025-07-15,JakCard,True,2,35000.0
2025-07-16,BRIZZI,False,8,86000.0
2025-07-16,BRIZZI,True,6,80500.0
2025-07-16,E-Money,False,4,60500.0
2025-07-16,E-Money,True,7,180500.0
2025-07-16,Flazz,False,1,20000.0
2025-07-16,Flazz,True,10,121000.0
2025-07-16,JakCard,False,5,67000.0
2025-07-16,JakCard,True,7,150500.0
2025-07-17,BRIZZI,False,7,120500.0
2025-07-17,BRIZZI,True,4,77000.0
2025-07-17,E-Money,False,6,44000.0
2025-07-17,E-Money,True,3,40000.0
2025-07-17,Flazz,False,4,110000.0
2025-07-17,Flazz,True,8,46000.0
2025-07-17,JakCard,False,8,122500.0
2025-07-17,JakCard,True,9,154000.0
2025-07-18,BRIZZI,False,6,64000.0
2025-07-18,BRIZZI,True,6,80500.0
2025-07-18,E-Money,False,5,26000.0
2025-07-18,E-Money,True,5,43500.0
2025-07-18,Flazz,False,5,62000.0
2025-07-18,Flazz,True,6,99000.0
2025-07-18,JakCard,False,3,42000.0
2025-07-18,JakCard,True,6,129000.0
2025-07-19,BRIZZI,False,7,96000.0
2025-07-19,BRIZZI,True,9,101500.0
2025-07-19,E-Money,False,3,22000.0
2025-07-19,E-Money,True,6,65500.0
2025-07-19,Flazz,False,4,39000.0
2025-07-19,Flazz,True,3,57000.0
2025-07-19,JakCard,False,11,120000.0
2025-07-20,BRIZZI,False,8,88000.0
2025-07-20,BRIZZI,True,7,84500.0
2025-07-20,E-Money,False,10,149500.0
2025-07-20,E-Money,True,9,157000.0
2025-07-20,Flazz,False,9,108000.0
2025-07-20,Flazz,True,3,72000.0
2025-07-20,JakCard,False,5,64000.0
2025-07-20,JakCard,True,4,4000.0
2025-07-21,BRIZZI,False,6,148500.0
2025-07-21,BRIZZI,True,6,49000.0
2025-07-21,E-Money,False,6,95500.0
2025-07-21,E-Money,True,5,61000.0
2025-07-21,Flazz,False,3,23500.0
2025-07-21,Flazz,True,4,29000.0
2025-07-21,JakCard,False,8,132000.0
2025-07-21,JakCard,True,6,142000.0
2025-07-22,BRIZZI,False,7,84500.0
2025-07-22,BRIZZI,True,3,55000.0
2025-07-22,E-Money,False,5,45500.0
2025-07-22,E-Money,True,5,59000.0
2025-07-22,Flazz,False,5,94000.0
2025-07-22,Flazz,True,4,77000.0
2025-07-22,JakCard,False,4,73500.0
2025-07-22,JakCard,True,2,5500.0
2025-07-23,BRIZZI,False,7,34500.0
2025-07-23,BRIZZI,True,5,95500.0
2025-07-23,E-Money,False,9,111000.0
2025-07-23,E-Money,True,4,29000.0
2025-07-23,Flazz,False,1,3500.0
2025-07-23,Flazz,True,7,51000.0
2025-07-23,JakCard,False,6,163500.0
2025-07-23,JakCard,True,4,77000.0
2025-07-24,BRIZZI,False,3,9000.0
2025-07-24,BRIZZI,True,7,84000.0
2025-07-24,E-Money,False,5,47500.0
2025-07-24,E-Money,True,5,44000.0
2025-07-24,Flazz,False,5,47500.0
2025-07-24,Flazz,True,5,29000.0
2025-07-24,JakCard,False,7,48000.0
2025-07-24,JakCard,True,10,141000.0
2025-07-25,BRIZZI,False,4,58500.0
2025-07-25,BRIZZI,True,4,44000.0
2025-07-25,E-Money,False,10,68500.0
2025-07-25,E-Money,True,2,23500.0
2025-07-25,Flazz,False,5,49000.0
2025-07-25,Flazz,True,7,102500.0
2025-07-25,JakCard,False,6,24000.0
2025-07-25,JakCard,True,10,124000.0
2025-07-26,BRIZZI,False,11,113000.0
2025-07-26,E-Money,False,8,116000.0
2025-07-26,E-Money,True,11,222500.0
2025-07-26,Flazz,False,8,107500.0
2025-07-26,Flazz,True,7,150500.0
2025-07-26,JakCard,False,4,45500.0
2025-07-26,JakCard,True,5,13000.0
2025-07-27,BRIZZI,False,7,79000.0
2025-07-27,BRIZZI,True,8,124000.0
2025-07-27,E-Money,False,6,77500.0
2025-07-27,E-Money,True,3,60000.0
2025-07-27,Flazz,False,6,34500.0
2025-07-27,Flazz,True,3,57000.0
2025-07-27,JakCard,False,3,42000.0
2025-07-27,JakCard,True,4,42500.0
2025-07-28,BRIZZI,False,6,118500.0
2025-07-28,BRIZZI,True,6,94000.0
2025-07-28,E-Money,False,10,240500.0
2025-07-28,E-Money,True,4,27500.0
2025-07-28,Flazz,False,8,85500.0
2025-07-28,Flazz,True,10,195500.0
2025-07-28,JakCard,False,6,67500.0
2025-07-28,JakCard,True,5,115000.0
2025-07-29,BRIZZI,False,7,101000.0
2025-07-29,BRIZZI,True,4,38500.0
2025-07-29,E-Money,False,6,129000.0
2025-07-29,E-Money,True,7,81000.0
2025-07-29,Flazz,False,5,47000.0
2025-07-29,Flazz,True,12,129500.0
2025-07-29,JakCard,False,4,43500.0
2025-07-29,JakCard,True,10,141000.0
2025-07-30,BRIZZI,False,9,104500.0
2025-07-30,BRIZZI,True,7,82500.0
2025-07-30,E-Money,False,8,180500.0
2025-07-30,E-Money,True,5,80500.0
2025-07-30,Flazz,False,5,64000.0
2025-07-30,Flazz,True,6,94000.0
2025-07-30,JakCard,False,9,157500.0
2025-07-30,JakCard,True,7,100500.0
2025-07-31,BRIZZI,False,5,42500.0
2025-07-31,BRIZZI,True,5,24000.0
2025-07-31,E-Money,False,2,23500.0
2025-07-31,E-Money,True,6,114000.0
2025-07-31,Flazz,False,7,82500.0
2025-07-31,Flazz,True,5,77000.0
2025-07-31,JakCard,False,4,62000.0
2025-07-31,JakCard,True,5,77000.0
